source,target,value
From Louisville KY,Louisville KY,9132
From Louisville KY,Fairdale KY,77
From Louisville KY,Carrelton  KY,5
From Louisville KY,Cecilia  KY,2
From Louisville KY,Charlestown  KY,21
From Louisville KY,Cincinnati  OH,2
From Louisville KY,Clarksville  IN,100
From Louisville KY,Cokato  MN,256
From Louisville KY,Corydon  IN,10
From Louisville KY,Cox Creek  KY,6
From Louisville KY,Crestwood  KY,49
From Louisville KY,Eden Prarie,34
From Louisville KY,Edmonds  Washington,10
From Louisville KY,Elgin  Illinois,1
From Louisville KY,ElizabethTown  KY,33
From Louisville KY,Elmherst  Illinois,3
From Louisville KY,Jeffersonville  IN,88
From Louisville KY,Juneau  WI,123
From Louisville KY,La grange  KY,77
From Louisville KY,Shepherdsville  KY,277
From Louisville KY,Shelbyville  KY,209
From Louisville KY,Sharon Center  OH,31
From Louisville KY,Georgetown  IN,12
From Louisville KY,Goshen  KY,21
From Louisville KY,Lexington  KY,44
From Louisville KY,Rolling Maedows. IL,24
From Louisville KY,Shakopee  MN,180
From Louisville KY,New Albany  IN,75
From Louisville KY,Prospect  KY,128
From Louisville KY,Radcliffe  KY,29
From Louisville KY,Mount Washington  KY,110
From Louisville KY,Muncie  IN,77
From Louisville KY,Vine Grove  KY,20
From Louisville KY,Westport  KY,10
From Louisville KY,Fort Knox  KY,18
From Louisville KY,Friendship  WI,105
From Louisville KY,Lawrenceberg  KY,7
From Louisville KY,Minneapolis  MN,47
From Louisville KY,Salamanca  NY,18
From Louisville KY,Sellersberg  IN,19
From Louisville KY,Fisherville  KY,17
From Louisville KY,Floyd Knobs  IN,10
From Louisville KY,Elmherst  IL,3
From Louisville KY,Eminence  IL,2
From Louisville KY,Florence  KY,2
From Louisville KY,Frankfurt  KY,14
From Louisville KY,Lebanon Junction  KY,5
From Louisville KY,Lombard  IL,4
From Louisville KY,Manlius  NY,12
From Louisville KY,New Hampstead  NY,10
From Louisville KY,Nicholasville  KY,22
From Louisville KY,Taylorsville  KY,31
From Louisville KY,Simpsonville  KY,8
From Louisville KY,Smithfield  Ky,3
From Louisville KY,Springfield  KY,4
From Louisville KY,New Richmond  OH,6
From Louisville KY,Pendelton  KY,8
From Louisville KY,Pewee Valley  KY,11
From Louisville KY,Portland  OR,4
From Louisville KY,Smithfield  KY,3
From Louisville KY,Honey Falls  KY,8
From Louisville KY,Kenosha  WI,5
From Louisville KY,New Salsbury  IN,3
From Louisville KY,Webster  KY,2
From Louisville KY,Greenvield  IN,4
From Louisville KY,Lietchfield  KY,3
From Louisville KY,Irvington  KY,5
From Louisville KY,Seymour  IN,2
From Louisville KY,West Point  KY,4
From Louisville KY,Fairfield  KY,1
From Louisville KY,Harvard  IL,4
From Louisville KY,Hodegenville  KY,3
,Masonic Home. KY,1
,,
,Forst Mitchell   KY,1
,Fort Thomas  KY,1
,Goodlettsville  TN,1
,Hanover  IN,1
,harrods Creek  KY,1
,Henderson  KY,1
,Hilliard  OH,1
,Hindsale  Illinois,1
,Libertyville  Illinois,1
,Midway   KY,1
,Morehead  KY,1
,Morning View  KY,1
,Mount Prospect  Illinois,1
,Munfordville  KY,1
,Guston  KY,1
,Washington  DC,1
